MH, FITNESS
WOA, 2.1e-13
WOA, 1.07e-14
WOA, 0.000291
WOA, 1.24e-09
WOA, 9.42e-11
WOA, 3.13e-07
WOA, 1.71e-10
WOA, 3.2e-11
WOA, 5.85e-11
WOA, 8.53e-14
WOA, 2.93e-12
WOA, 1.53e-12
WOA, 3.26e-11
WOA, 5.68e-14
WOA, 2.48e-11
SRO, 20.3
SRO, 15.6
SRO, 238.0
SRO, 276.0
SRO, 304.0
SRO, 225.0
SRO, 267.0
SRO, 199.0
SRO, 199.0
SRO, 320.0
SRO, 243.0
SRO, 226.0
SRO, 288.0
PSO, 0.995
PSO, 1.99
PSO, 1.24
PSO, 2.3e-07
PSO, 32.7
PSO, 25.3
PSO, 31.8
PSO, 67.2
PSO, 51.9
PSO, 34.7
PSO, 59.3
PSO, 42.6
PSO, 34.8
PSO, 18.2
PSO, 52.0
